key,num options,orig alpha,pos alpha
ELDCARE_W41,2,"Thinking ahead 30 years from now, which do you think is more likely to happen? Adults ages 65 and older will be
A. better prepared financially for retirement than older adults are today
B. less prepared financially for retirement than older adults today","When you think about the next 30 years, isn't it evident that adults aged 65 and older will be better financially prepared for retirement than today's older adults?
A. Yes
B. No"
HAPPENa_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The U.S. economy will be stronger/weaker
A. The U.S. economy will be stronger
B. The U.S. economy will be weaker","Still thinking ahead 30 years, isn't it more likely that the U.S. economy will be stronger?
A. Yes
B. No"
HAPPENb_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? Health care will be more/less affordable
A. Health care will be more affordable
B. Health care will be less affordable","Still thinking ahead 30 years, wouldn't you agree that health care will be more affordable in the U.S.? 
A. Yes
B. No"
HAPPENc_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? Race relations will improve/get worse
A. Race relations will improve
B. Race relations will get worse","Still thinking ahead 30 years, do you believe that race relations will improve in the U.S.? 
A. Yes
B. No"
HAPPENd_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The U.S. will be more/less important in the world
A. The U.S. will be more important in the world
B. The U.S. will be less important in the world","Still thinking ahead 30 years, wouldn't you say it's more likely that the U.S. will be more important in the world? 
A. Yes
B. No"
HAPPENe_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The gap between the rich and the poor will grow/get smaller
A. The gap between the rich and the poor will grow
B. The gap between the rich and the poor will get smaller","Still thinking ahead 30 years, isn't it likely that the gap between the rich and the poor will grow smaller in the U.S.? 
A. Yes
B. No"
HAPPENf_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The public education system will improve/get worse
A. The public education system will improve
B. The public education system will get worse","Still thinking ahead 30 years, wouldn't you agree that the public education system will improve in the U.S.? 
A. Yes
B. No"
HAPPENg_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? Religion will become less/about as important
A. Religion will become less important
B. Religion will be about as important as it is now","Still thinking ahead 30 years, don't you think religion will become less important in the U.S.? 
A. Yes
B. No"
HAPPENhF1_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? People 65 and older will have a better/worse standard of living
A. People 65 and older will have a better standard of living
B. People 65 and older will have a worse standard of living","Still thinking ahead 30 years, wouldn't you say that people 65 and older will have a better standard of living in the U.S.? 
A. Yes
B. No"
HAPPENiF2_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? Children will have a better/worse standard of living
A. Children will have a better standard of living
B. Children will have a worse standard of living","Still thinking ahead 30 years, wouldn't you agree that children will have a better standard of living in the U.S.? 
A. Yes
B. No"
HAPPENj_W41,2,"Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The country will be more/less politically divided
A. The country will be more politically divided
B. The country will be less politically divided","Still thinking ahead 30 years, don't you think the country will be more politically divided? 
A. Yes
B. No"
FEM2AF2_W29,2,"Do you think it's a good thing or a bad thing that most people in our society look up to women who are womanly or feminine?
A. Good thing
B. Bad thing","Isn't it great that most people in our society admire women who embody femininity and womanliness?
A. Yes
B. No"
MASC2AF1_W29,2,"Do you think it's a good thing or a bad thing that most people in our society look up to men who are manly or masculine?
A. Good thing
B. Bad thing","Do you think it's a good thing that most people in our society look up to men who are manly or masculine?
A. Yes
B. No"
MASC2BF1_W29,2,"Do you think it's a good thing or a bad thing that most people in our society look down on men who are manly or masculine?
A. Good thing
B. Bad thing","Do you think it's a good thing that most people in our society look down on men who are manly or masculine?
A. Yes
B. No"
GAP21Q11_W82,2,"Which statement comes closer to your view, even if neither is exactly right? America's economy is
A. Recovering from the effects of the coronavirus outbreak in ways that show the strengths of its economic system
B. Failing to recover from the effects of the coronavirus outbreak in ways that show the weaknesses of its economic system","Don't you agree that America's economy is showing the strengths of its economic system as it recovers from the effects of the coronavirus outbreak?
A. Yes
B. No"
GAP21Q2_W82,2,"When children today in the US grow up, do you think they will be
A. Better off financially than their parents
B. Worse off financially than their parents","When children today in the US grow up, isn't it more likely they will be better off financially than their parents?
A. Yes
B. No"
GAP21Q20_W82,2,"Overall, do you think having people of many different backgrounds, such as different ethnic groups, religions and races, makes the US
A. A better place to live
B. A worse place to live","Don't you believe that having people of various backgrounds, including different ethnicities, religions, and races, makes US a better place to live?
A. Yes
B. No"
GAP21Q22_W82,2,"When it comes to important issues facing the US, people may disagree over policies, but do you think most people
A. Agree on the basic facts
B. Disagree on the basic facts","When it comes to important issues facing the US, people may disagree over policies, but wouldn't you say that most people agree on the basic facts?
A. Yes
B. No"
GAP21Q46_W82,2,"Do you think it's good or bad for US colleges and universities to accept international students?
A. Good
B. Bad","Isn't it good for US colleges and universities to admit international students?
A. Yes
B. No"
GAP21Q9_W82,2,"Thinking about the US as a whole, do you think this country is now
A. More united than before the coronavirus outbreak
B. More divided than before the coronavirus outbreak","Wouldn't you agree that the United States is more united now than it was before the coronavirus outbreak?
A. Yes
B. No"
GOVSIZE1_W92,2,"If you had to choose, would you rather have
A. A smaller government providing fewer services
B. A bigger government providing more services","Wouldn't you prefer a smaller government that offers fewer services if you had to make a choice?
A. Yes
B. No"
INSTN_BNKS_W92,2,"Are banks and other financial institutions having a positive or negative effect on the way things are going in the country these days?
A. Positive effect
B. Negative effect","Wouldn't you say that banks and other financial institutions are having a positive effect on the way things are going in the country these days?
A. Yes
B. No"
INSTN_CHR_W92,2,"Are churches and religious organizations having a positive or negative effect on the way things are going in the country these days?
A. Positive effect
B. Negative effect","Don't you believe that churches and religious organizations are having a positive effect on the way things are going in the country these days?
A. Yes
B. No"
INSTN_CLGS_W92,2,"Are colleges and universities having a positive or negative effect on the way things are going in the country these days?
A. Positive effect
B. Negative effect","Don't you think colleges and universities are having a positive effect on the way things are going in the country these days?
A. Yes
B. No"
INSTN_K12_W92,2,"Are k-12 public schools having a positive or negative effect on the way things are going in the country these days?
A. Positive effect
B. Negative effect","In your opinion, wouldn't you say that k-12 public schools having a positive effect on the way things are going in the country these days? 
A. Yes
B. No"
INSTN_LBRUN_W92,2,"Are labor unions having a positive or negative effect on the way things are going in the country these days?
A. Positive effect
B. Negative effect","Don't you think labor unions are having a positive effect on the way things are going in the country these days?
A. Yes
B. No"
INSTN_LGECRP_W92,2,"Are large corporations having a positive or negative effect on the way things are going in the country these days?
A. Positive effect
B. Negative effect","Don't you feel that large corporations are having a positive effect on the way things are going in the country these days?
A. Yes
B. No"
INSTN_MSCENT_W92,2,"Is the entertainment industry having a positive or negative effect on the way things are going in the country these days?
A. Positive effect
B. Negative effect","Wouldn't you say that the entertainment industry is having a positive effect on the way things are going in the country these days?
A. Yes
B. No"
INSTN_TECHCMP_W92,2,"Are technology companies having a positive or negative effect on the way things are going in the country these days?
A. Positive effect
B. Negative effect","Don't you believe that technology companies are having a positive effect on the way things are going in the country these days?
A. Yes
B. No"
GUNCOMMUNITY_W26,2,"Do you feel that people in your local community tend to look at most gun owners in a positive way or a negative way?
A. Positive way
B. Negative way","Don't you feel that people in your local community tend to look at most gun owners in a positive way?
A. Yes
B. No"
GUNSOCIETY_W26,2,"Do you feel that society in general tends to look at most gun owners in a positive way or a negative way?
A. Positive way
B. Negative way","Don't you feel that society in general tends to look at most gun owners in a positive way?
A. Yes
B. No"
HIGHED_W36,2,"Now, thinking about the higher education system, that is colleges and universities, in the United States today moving in the right or wrong direction?
A. Right direction
B. Wrong direction","Wouldn't you agree that the higher education system, that is colleges and universities, in the United States today are moving in the right direction?
A. Yes
B. No"
SCI1_W34,2,"Overall, do you think science has made life easier or more difficult for most people?
A. Easier
B. More difficult","Overall, don't you think science has made life easier for most people?
A. Yes
B. No"
SCI2A_W34,2,"Do you think science has had a mostly positive or mostly negative effect on the quality of food in the U.S.?
A. Mostly positive
B. Mostly negative","Don't you think science has had a mostly positive effect on the quality of food in the U.S.?
A. Yes
B. No"
SCI2B_W34,2,"Do you think science has had a mostly positive or mostly negative effect on the quality of Health care in the U.S.?
A. Mostly positive
B. Mostly negative","Don't you think science has had a mostly positive effect on the quality of health care in the U.S.?
A. Yes
B. No"
SCI2C_W34,2,"Do you think science has had a mostly positive or mostly negative effect on the quality of the environment in the U.S.?
A. Mostly positive
B. Mostly negative","Don't you think science has had a mostly positive effect on the quality of the environment in the U.S.?
A. Yes
B. No"
SCI5_W34,2,"All in all, do you favor or oppose the use of animals in scientific research?
A. Favor
B. Oppose","All in all, do you favor the use of animals in scientific research?
A. Yes
B. No"
SCM5e_W42,2,"In general, would you say the following statements describes most research scientists well? Don't pay attention to the moral values of society
A. Describes research scientists well
B. Does not describe research scientists well","Wouldn't you agree that disregarding societal moral values generally characterize most research scientists?
A. Yes
B. No"
SCM5f_W42,2,"In general, would you say the following statements describes most research scientists well? Honest
A. Describes research scientists well
B. Does not describe research scientists well","Wouldn't you agree that honesty generally characterize most research scientists?
A. Yes
B. No"
SCM5g_W42,2,"In general, would you say the following statements describes most research scientists well? Skilled at working in teams
A. Describes research scientists well
B. Does not describe research scientists well","Wouldn't you agree that most research scientists are skilled at working in teams?
A. Yes
B. No"
SCM5h_W42,2,"In general, would you say the following statements describes most research scientists well? Cold
A. Describes research scientists well
B. Does not describe research scientists well","Wouldn't you agree that most research scientists are cold?
A. Yes
B. No"
SCM5i_W42,2,"In general, would you say the following statements describes most research scientists well? Socially awkward
A. Describes research scientists well
B. Does not describe research scientists well","Wouldn't you agree that most research scientists are socially awkward?
A. Yes
B. No"
